============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  194  8 .6092622E+08   4561631E+02 -.3936E+07 -.9658E+06   .9999289 -.0115430 -.0030068
T  195  8 .6076188E+08   4561631E+02 -.4889E+05 -.9743E+06   .9999995 -.0005234 -.0008989
T  196  8 .6084462E+08   4561630E+02 -.1175E+07  .2145E+06   .9999852 -.0054314  .0003270
T  197  8 .6083478E+08   4561630E+02  .1971E+07 -.5237E+06   .9999809  .0061235  .0008576
T  198  8 .6065881E+08   4561630E+02  .1255E+07 -.2390E+07   .9999792  .0006411 -.0064225
T  199  8 .6087263E+08   4561631E+02  .2348E+06 -.6999E+06   .9999978  .0015377 -.0014478
T  200  8 .6105962E+08   4561630E+02  .5827E+06  .1620E+07   .9999732  .0011598  .0072255
T  201  8 .6073180E+08   4561630E+02  .7932E+06 -.7878E+06   .9999969  .0013000  .0021099
T  202  8 .6068872E+08   4561630E+02  .2401E+07 -.1730E+07   .9999821  .0053528 -.0026636
T  203  8 .6102721E+08   4561630E+02  .1425E+07  .5528E+06   .9999836  .0053061  .0021391
T  204  8 .6091517E+08   4561630E+02 -.2048E+07  .2880E+07   .9999373 -.0027889  .0108471
T  205  8 .6087292E+08   4561630E+02  .1379E+07 -.2158E+06   .9999905  .0043488  .0003025
T  206  8 .6077442E+08   4561631E+02 -.5986E+06  .1321E+07   .9999887 -.0043169  .0019948
T  207  8 .6074870E+08   4561630E+02 -.2971E+06  .1106E+07   .9999974 -.0022521  .0001730
T  208  8 .6095182E+08   4561630E+02 -.1229E+07 -.2995E+07   .9999836 -.0029803 -.0048993
T  209  8 .6086551E+08   4561630E+02  .1981E+07  .1104E+06   .9999978  .0018749 -.0009813
T  210  8 .6067763E+08   4561630E+02  .1770E+07  .8896E+06   .9999902  .0039695  .0019524
T  211  8 .6087729E+08   4561630E+02 -.2792E+06 -.1127E+07   .9999840 -.0041483 -.0038387
T  212  8 .6065611E+08   4561630E+02  .1127E+07  .2678E+06   .9999956  .0027980  .0010341
T  213  8 .6098439E+08   4561630E+02  .1044E+07  .3338E+06   .9999923  .0027070  .0028305
T  214  8 .6094938E+08   4561630E+02 -.1134E+07  .2231E+07   .9999725 -.0047662  .0056749
T  215  8 .6086330E+08   4561630E+02 -.1825E+07 -.1797E+07   .9999896 -.0020115 -.0040875
T  216  8 .6099245E+08   4561631E+02  .6205E+06 -.1766E+07   .9999836  .0000678 -.0057257
T  217  8 .6079873E+08   4561630E+02  .5172E+06 -.1573E+07   .9999782  .0038500 -.0053708
T  218  8 .6071453E+08   4561631E+02 -.6938E+06  .3030E+06   .9999993 -.0005831  .0009857
T  219  8 .6086363E+08   4561631E+02 -.1420E+07  .2371E+07   .9999915 -.0039061  .0012963
T  220  8 .6108437E+08   4561630E+02  .3137E+06 -.2396E+06   .9999952  .0007782 -.0029887
T  221  8 .6082772E+08   4561630E+02 -.3618E+05  .9428E+06   .9999912 -.0003332  .0041882
T  222  8 .6087390E+08   4561631E+02 -.3930E+06  .1543E+07   .9999802  .0017963  .0060368
T  223  8 .6074996E+08   4561630E+02 -.7061E+06  .3714E+06   .9999816 -.0015967  .0058575
T  224  8 .6093317E+08   4561631E+02  .1282E+07 -.3033E+07   .9999677  .0033272 -.0073162
T  225  8 .6088360E+08   4561630E+02  .4302E+07 -.8839E+06   .9999265  .0117171 -.0031005
T  226  8 .6109611E+08   4561630E+02  .1744E+07  .1732E+07   .9999791  .0036836  .0053106
T  227  8 .6086517E+08   4561630E+02  .2856E+06 -.2093E+07   .9999941  .0034209 -.0000547
T  228  8 .6077439E+08   4561630E+02 -.1345E+07 -.1781E+07   .9999758 -.0044099 -.0053719
T  229  8 .6084308E+08   4561630E+02 -.1073E+07 -.1599E+07   .9999840 -.0031649 -.0046965
T  230  8 .6077269E+08   4561630E+02 -.3399E+06 -.1577E+07   .9999851  .0010756 -.0053476
T  231  8 .6075843E+08   4561630E+02  .6950E+06  .1625E+07   .9999805 -.0001398  .0062433
T  232  8 .6080174E+08   4561630E+02 -.2229E+07  .4078E+06   .9999739 -.0071975 -.0006919
T  233  8 .6067075E+08   4561630E+02 -.3375E+06 -.9768E+06   .9999975 -.0008487 -.0020788
T  234  8 .6103925E+08   4561631E+02 -.1566E+06 -.1237E+07   .9999851 -.0033412 -.0043072
T  235  8 .6087563E+08   4561630E+02 -.1282E+07 -.1572E+07   .9999944 -.0010877 -.0031640
T  236  8 .6057055E+08   4561630E+02 -.1258E+07 -.1810E+06   .9999948 -.0031142 -.0007864
T  237  8 .6070447E+08   4561631E+02  .1014E+07 -.2098E+07   .9999815  .0040527 -.0045400
T  238  8 .6096492E+08   4561630E+02 -.1549E+07 -.3095E+07   .9999658 -.0037953 -.0073427
T  239  8 .6067699E+08   4561630E+02 -.9065E+06  .4391E+05   .9999857 -.0052202 -.0011811
T  240  8 .6077308E+08   4561630E+02 -.2349E+06  .2218E+07   .9999575 -.0014928  .0090960
T  241  8 .6079255E+08   4561631E+02  .1274E+07  .1198E+07   .9999612  .0084099  .0026263
T  242  8 .6072086E+08   4561631E+02 -.1509E+07 -.4263E+06   .9999985 -.0016891 -.0003094
T  243  8 .6106416E+08   4561631E+02 -.4400E+06  .5875E+06   .9999930 -.0010030  .0036129
T  244  8 .6105405E+08   4561630E+02  .1047E+07 -.1919E+07   .9999877  .0027950 -.0041061
T  245  8 .6089952E+08   4561630E+02  .1113E+07 -.1424E+07   .9999810  .0039847 -.0047136
T  246  8 .6074598E+08   4561630E+02  .3206E+06  .4581E+06   .9999996 -.0008862 -.0000165
T  247  8 .6066174E+08   4561630E+02  .1078E+07  .2127E+06   .9999936  .0034837  .0007565
T  248  8 .6082845E+08   4561631E+02 -.7258E+06  .4318E+05   .9999971  .0005615  .0023600
T  249  8 .6076559E+08   4561630E+02 -.1900E+05 -.1551E+07   .9999906  .0035739 -.0024694
T  250  8 .6078630E+08   4561630E+02 -.4769E+05  .6380E+06   .9999615  .0028838  .0082907
T  251  8 .6072333E+08   4561631E+02 -.9404E+06 -.2023E+07   .9999805 -.0029679 -.0055018
T  252  8 .6100641E+08   4561630E+02 -.1141E+07  .1999E+07   .9999918  .0016186  .0037194
T  253  8 .6077586E+08   4561630E+02  .1368E+07  .8940E+06   .9999925  .0038750  .0000116
T  254  8 .6088393E+08   4561630E+02 -.1424E+06  .2229E+06   .9999942  .0025533  .0022732
T  255  8 .6061237E+08   4561631E+02 -.1489E+07 -.7850E+06   .9999894 -.0039563 -.0023522
T  256  8 .6116419E+08   4561630E+02  .1540E+07 -.2980E+06   .9999538  .0095974 -.0004787
T  257  8 .6087684E+08   4561631E+02  .4524E+06 -.3170E+06   .9999982  .0011020 -.0015750
T  258  8 .6091212E+08   4561630E+02 -.2151E+07 -.7694E+05   .9999778 -.0066589 -.0001847
T  259  8 .6091346E+08   4561630E+02  .5898E+06  .1780E+07   .9999855  .0004714  .0053723
T  260  8 .6081213E+08   4561630E+02  .2700E+07  .6442E+06   .9999715  .0074223  .0014069
T  261  8 .6079877E+08   4561631E+02  .1577E+07 -.6958E+06   .9999895  .0044243 -.0011668
T  262  8 .6072569E+08   4561630E+02 -.6766E+06  .1910E+05   .9999834 -.0033210  .0047108
