 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 17, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_H2-iC4H10_95-5_650mbar.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2900E-04 g/cm3 = 4.1898E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 250.00 MeV   8.088E-04  5.141E-07  169.88 m      7.21 m      1.34 m   
 275.00 MeV   7.499E-04  4.708E-07  201.97 m      8.53 m      1.58 m   
 300.00 MeV   7.003E-04  4.345E-07  236.46 m      9.83 m      1.85 m   
 325.00 MeV   6.579E-04  4.035E-07  273.28 m     11.14 m      2.12 m   
 350.00 MeV   6.213E-04  3.768E-07  312.37 m     12.44 m      2.42 m   
 375.00 MeV   5.893E-04  3.536E-07  353.68 m     13.75 m      2.73 m   
 400.00 MeV   5.611E-04  3.331E-07  397.14 m     15.08 m      3.06 m   
 450.00 MeV   5.137E-04  2.987E-07  490.25 m     20.04 m      3.75 m   
 500.00 MeV   4.754E-04  2.709E-07  591.41 m     24.64 m      4.50 m   
 550.00 MeV   4.438E-04  2.481E-07  700.25 m     29.08 m      5.30 m   
 600.00 MeV   4.172E-04  2.288E-07  816.42 m     33.42 m      6.15 m   
 650.00 MeV   3.946E-04  2.125E-07  939.62 m     37.71 m      7.04 m   
 700.00 MeV   3.751E-04  1.984E-07    1.07 km    41.98 m      7.97 m   
 800.00 MeV   3.432E-04  1.752E-07    1.35 km    57.63 m      9.95 m   
 900.00 MeV   3.183E-04  1.571E-07    1.65 km    71.82 m     12.07 m   
   1.00 GeV   2.982E-04  1.424E-07    1.98 km    85.29 m     14.32 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.7522E+01                keV / (ug/cm2) 
  7.7522E+01                MeV / (mg/cm2) 
  7.7522E+04                keV / (mg/cm2) 
  2.3868E+02                 eV / (1E15 atoms/cm2)
  2.5072E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
