============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  147  9 .6139662E+08   3601150E+02 -.4999E+05 -.2448E+06   .9999997 -.0002497 -.0007701
T  148  9 .6124175E+08   3601150E+02  .1467E+06  .9261E+06   .9999978  .0019096  .0008721
T  149  9 .6146807E+08   3601150E+02 -.2378E+07  .4643E+06   .9999385 -.0101053  .0045671
T  150  9 .6136623E+08   3601150E+02 -.9326E+06  .4938E+06   .9999812 -.0028280  .0054492
T  151  9 .6123408E+08   3601150E+02  .3234E+06 -.9110E+06   .9999861  .0015620 -.0050349
T  152  9 .6132279E+08   3601150E+02  .8198E+06  .8766E+06   .9999933  .0006144  .0036117
T  153  9 .6149709E+08   3601150E+02 -.3445E+06 -.1485E+07   .9999874 -.0024753 -.0043724
T  154  9 .6125846E+08   3601150E+02 -.4537E+06 -.1987E+07   .9999833  .0000188 -.0057863
T  155  9 .6143319E+08   3601150E+02  .4446E+05  .1288E+07   .9999831 -.0000948  .0058200
T  156  9 .6123247E+08   3601150E+02  .9337E+06 -.1123E+06   .9999878  .0049055 -.0005092
T  157  9 .6129711E+08   3601150E+02  .1288E+07 -.6033E+06   .9999878  .0045596 -.0019030
T  158  9 .6138660E+08   3601150E+02 -.8088E+06 -.2999E+06   .9999982 -.0014012 -.0012462
T  159  9 .6132945E+08   3601150E+02 -.8004E+06 -.1099E+07   .9999968 -.0005907 -.0024541
T  160  9 .6131515E+08   3601150E+02  .7339E+02 -.1109E+07   .9999932 -.0007461 -.0036052
T  161  9 .6113104E+08   3601150E+02 -.5097E+05 -.1073E+07   .9998638  .0089411 -.0138699
T  162  9 .6154594E+08   3601150E+02  .9029E+06  .1900E+06   .9999898  .0044167 -.0009750
T  163  9 .6141228E+08   3601150E+02 -.6282E+05  .1511E+07   .9999918 -.0004961  .0040256
T  164  9 .6121071E+08   3601150E+02 -.1421E+07 -.4385E+06   .9999975 -.0022332 -.0001962
T  165  9 .6130513E+08   3601150E+02 -.1415E+07  .4673E+06   .9999964 -.0022133  .0015387
T  166  9 .6123853E+08   3601150E+02  .1264E+07  .1039E+07   .9999858  .0053079 -.0004309
T  167  9 .6139996E+08   3601150E+02 -.3583E+07  .1657E+07   .9993333 -.0319092  .0177410
T  168  9 .6123450E+08   3601150E+02 -.6752E+06  .3787E+07   .9999535 -.0052631  .0080836
T  169  9 .6136408E+08   3601150E+02  .1237E+07 -.6607E+06   .9999915  .0034174 -.0023027
T  170  9 .6132600E+08   3601150E+02 -.1216E+07 -.6475E+06   .9999963 -.0025137 -.0010030
T  171  9 .6116309E+08   3601150E+02 -.1144E+07 -.4956E+06   .9999714 -.0043776 -.0061719
T  172  9 .6108522E+08   3601150E+02 -.1178E+07 -.9430E+06   .9999741 -.0054339 -.0047136
T  173  9 .6149547E+08   3601150E+02  .2736E+07 -.7767E+06   .9999578  .0083084 -.0039207
T  174  9 .6120306E+08   3601150E+02  .8531E+06  .6075E+06   .9999917  .0035384  .0020156
T  175  9 .6109535E+08   3601150E+02  .8850E+06  .1343E+07   .9999634  .0071437  .0047131
T  176  9 .6132246E+08   3601150E+02  .1392E+06 -.1433E+05   .9999999 -.0002963  .0001441
T  177  9 .6122836E+08   3601150E+02  .1328E+07 -.2240E+07   .9999479  .0036418 -.0095321
T  178  9 .6123984E+08   3601150E+02  .1669E+07 -.1323E+06   .9999908  .0042665  .0003121
T  179  9 .6100850E+08   3601150E+02  .1102E+07 -.1083E+07   .9999805  .0040624 -.0047517
T  180  9 .6113821E+08   3601150E+02 -.1325E+07 -.1888E+06   .9999968 -.0016036  .0019418
T  181  9 .6117020E+08   3601150E+02  .5838E+06 -.1293E+07   .9999863  .0037123 -.0036932
T  182  9 .6118927E+08   3601150E+02  .4337E+07  .1745E+06   .9999397  .0109540 -.0008067
T  183  9 .6124297E+08   3601150E+02 -.9380E+06 -.5464E+05   .9999901 -.0043658 -.0008836
T  184  9 .6124929E+08   3601150E+02 -.2095E+07  .1858E+06   .9999896 -.0045502  .0002475
T  185  9 .6128728E+08   3601150E+02  .2257E+05 -.3138E+07   .9999820 -.0000052 -.0059988
T  186  9 .6134960E+08   3601150E+02  .1355E+07  .7089E+06   .9999894  .0043824  .0014052
T  187  9 .6115425E+08   3601150E+02 -.1245E+06  .8249E+06   .9999946  .0011952  .0030696
T  188  9 .6113386E+08   3601150E+02  .1628E+07  .1074E+07   .9999939  .0032844  .0011647
T  189  9 .6131537E+08   3601150E+02 -.9442E+06 -.1536E+07   .9999940 -.0009828 -.0033228
T  190  9 .6124111E+08   3601150E+02  .8463E+06 -.4985E+06   .9999982  .0006060 -.0017805
T  191  9 .6120789E+08   3601150E+02  .3394E+07 -.1832E+07   .9999426  .0093466 -.0052457
T  192  9 .6086664E+08   3601150E+02 -.2823E+06 -.1366E+07   .9999914  .0009664 -.0040354
T  193  9 .6113477E+08   3601150E+02 -.4949E+06 -.2688E+07   .9999658 -.0016808 -.0080988
T  194  9 .6134300E+08   3601150E+02 -.1414E+07  .2294E+07   .9999636 -.0032320  .0078968
T  195  9 .6133673E+08   3601150E+02  .3118E+07 -.2611E+07   .9998753  .0126788 -.0094198
T  196  9 .6131096E+08   3601150E+02  .5406E+06 -.2477E+06   .9999999  .0002724  .0003285
T  197  9 .6139833E+08   3601150E+02  .2922E+07  .2204E+07   .9999227  .0101085  .0072388
T  198  9 .6123073E+08   3601150E+02  .4703E+06 -.1266E+07   .9999950  .0007880 -.0030564
T  199  9 .6132646E+08   3601150E+02 -.3105E+07  .8726E+06   .9999333 -.0113946  .0019078
T  200  9 .6120228E+08   3601150E+02  .1389E+07 -.2815E+06   .9999940  .0034386 -.0003015
T  201  9 .6126847E+08   3601150E+02 -.3589E+06 -.8502E+06   .9999936 -.0020903 -.0029048
T  202  9 .6124749E+08   3601150E+02  .2241E+07  .2658E+06   .9999794  .0063897  .0006391
T  203  9 .6123251E+08   3601150E+02  .1571E+06 -.5388E+06   .9999929  .0011826 -.0035690
T  204  9 .6119517E+08   3601150E+02 -.5743E+06 -.1416E+07   .9999860  .0005377 -.0052688
T  205  9 .6108368E+08   3601150E+02 -.6208E+06  .1932E+05   .9999862 -.0051435  .0010394
T  206  9 .6126682E+08   3601150E+02  .2015E+06 -.1514E+07   .9999902  .0001785 -.0044124
T  207  9 .6133065E+08   3601150E+02 -.3270E+07 -.1525E+07   .9989837 -.0369027 -.0258787
T  208  9 .6131779E+08   3601150E+02 -.2819E+06 -.2264E+06   .9999893  .0039129 -.0024813
T  209  9 .6141892E+08   3601150E+02  .1501E+07  .1239E+07   .9999763  .0051213  .0046068
T  210  9 .6138106E+08   3601150E+02  .1887E+07 -.2061E+05   .9999216  .0125142  .0004628
T  211  9 .6129909E+08   3601150E+02  .2075E+07  .3548E+06   .9999951  .0028571  .0013146
T  212  9 .6124959E+08   3601150E+02  .1061E+07  .1348E+07   .9999928  .0022263  .0030889
T  213  9 .6113032E+08   3601150E+02 -.5077E+06  .6298E+06   .9999940 -.0001283  .0034625
T  214  9 .6135537E+08   3601150E+02  .1411E+07  .1789E+06   .9999910  .0042314 -.0003386
T  215  9 .6094950E+08   3601150E+02  .1336E+06  .9506E+06   .9999591  .0045243  .0078298
T  216  9 .6132724E+08   3601150E+02 -.2253E+07  .3638E+06   .9994541 -.0312680  .0106714
T  217  9 .6153283E+08   3601150E+02 -.9675E+06  .1390E+06   .9999960  .0009721  .0026680
T  218  9 .6150490E+08   3601150E+02 -.8851E+04 -.3139E+07   .9999555  .0008799 -.0093959
T  219  9 .6117540E+08   3601150E+02 -.1668E+06  .4126E+06   .9999989  .0014458  .0004571
T  220  9 .6106481E+08   3601150E+02 -.1656E+07  .1176E+07   .9999819 -.0037131  .0047355
T  221  9 .6113314E+08   3601150E+02  .9569E+06  .7083E+06   .9999869  .0045168  .0024131
T  222  9 .6112791E+08   3601150E+02  .2300E+07  .1296E+07   .9999557  .0057822  .0074242
T  223  9 .6131752E+08   3601150E+02 -.1346E+07  .1950E+07   .9999797 -.0038456  .0050815
T  224  9 .6127356E+08   3601150E+02 -.1242E+07 -.1538E+07   .9999868 -.0041052 -.0031011
T  225  9 .6132628E+08   3601150E+02 -.2749E+06 -.3408E+07   .9999471 -.0021797 -.0100567
T  226  9 .6115382E+08   3601150E+02 -.2346E+07 -.1698E+06   .9999680 -.0079980 -.0002429
T  227  9 .6114402E+08   3601150E+02 -.7801E+06 -.6961E+06   .9999961 -.0028024 -.0000187
T  228  9 .6116673E+08   3601150E+02  .5524E+06 -.1631E+07   .9999843  .0005465 -.0055799
T  229  9 .6137792E+08   3601150E+02  .5465E+06  .1412E+06   .9999961 -.0027189  .0006020
T  230  9 .6128387E+08   3601150E+02  .4721E+06  .1997E+05   .9999969  .0023663 -.0007818
T  231  9 .6145858E+08   3601150E+02  .1387E+07  .3885E+06   .9999951  .0022480  .0021938
T  232  9 .6141834E+08   3601150E+02 -.1030E+07  .1174E+07   .9999628 -.0075420  .0041943
T  233  9 .6127931E+08   3601150E+02 -.4095E+07 -.1800E+07   .9999003 -.0125630 -.0064469
T  234  9 .6148888E+08   3601150E+02 -.2979E+06  .1318E+07   .9999901  .0014011  .0042182
T  235  9 .6133968E+08   3601150E+02 -.1428E+07  .3779E+06   .9999951 -.0022433  .0021966
T  236  9 .6147013E+08   3601150E+02  .1624E+06  .2395E+06   .9999982  .0014027  .0013100
T  237  9 .6137425E+08   3601150E+02  .8330E+06  .1443E+07   .9999928  .0008494  .0036991
T  238  9 .6130446E+08   3601150E+02 -.1184E+07 -.1242E+06   .9999916 -.0039928  .0009596
T  239  9 .6107960E+08   3601150E+02 -.3483E+07  .1697E+08   .9989196 -.0142636  .0442284
T  240  9 .6129356E+08   3601150E+02 -.2028E+07 -.2637E+06   .9999757 -.0064981 -.0025125
T  241  9 .6119843E+08   3601150E+02  .7534E+06 -.1103E+06   .9999976  .0019652 -.0009231
T  242  9 .6114446E+08   3601150E+02  .1471E+07  .1117E+06   .9999877  .0048845 -.0009092
T  243  9 .6124055E+08   3601150E+02  .1203E+08 -.7959E+07   .9991422  .0343700 -.0230976
T  244  9 .6138683E+08   3601150E+02  .5824E+06  .3499E+06   .9999913  .0029655  .0029170
T  245  9 .6148655E+08   3601150E+02  .2785E+05 -.2679E+06   .9999980  .0015361 -.0012630
