============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  156  9 .5644867E+08   4561630E+02 -.1177E+07 -.1052E+07   .9999667 -.0060528 -.0054657
T  157  9 .5659250E+08   4561630E+02  .6475E+05 -.4089E+06   .9999991  .0004474  .0012821
T  158  9 .5625617E+08   4561630E+02  .2396E+06 -.4719E+06   .9999973 -.0019716  .0012336
T  159  9 .5655813E+08   4561630E+02 -.1632E+07  .2581E+06   .9999847 -.0039210  .0038995
T  160  9 .5655297E+08   4561630E+02  .1610E+07 -.5367E+06   .9999773  .0066620 -.0010114
T  161  9 .5665051E+08   4561630E+02  .3755E+06 -.1242E+07   .9999141  .0065849 -.0113306
T  162  9 .5652068E+08   4561630E+02 -.2366E+07  .5270E+06   .9999548 -.0087546  .0037014
T  163  9 .5618328E+08   4561630E+02  .7741E+07 -.7963E+07   .9997315  .0144897 -.0180845
T  164  9 .5638938E+08   4561631E+02 -.3933E+07 -.1677E+07   .9998313 -.0179219 -.0040179
T  165  9 .5620673E+08   4561631E+02 -.6018E+06 -.8148E+06   .9999955 -.0029142  .0007459
T  166  9 .5637801E+08   4561630E+02 -.7173E+06 -.3797E+07   .9999732 -.0008308 -.0072693
T  167  9 .5649558E+08   4561631E+02 -.1084E+07 -.2279E+07   .9999948 -.0010799 -.0030517
T  168  9 .5649431E+08   4561631E+02 -.2567E+06 -.1138E+07   .9999780  .0012654 -.0065182
T  169  9 .5636780E+08   4561630E+02 -.3121E+07  .1032E+07   .9999604 -.0084269  .0028436
T  170  9 .5625640E+08   4561631E+02  .3932E+06 -.2309E+06   .9999951  .0030368 -.0007565
T  171  9 .5654165E+08   4561630E+02 -.5758E+07 -.4857E+06   .9999079 -.0135103  .0013266
T  172  9 .5649517E+08   4561630E+02 -.1582E+07 -.2703E+07   .9999612 -.0023923 -.0084736
T  173  9 .5644605E+08   4561630E+02 -.1141E+07  .1032E+07   .9999843 -.0036884  .0042089
T  174  9 .5643550E+08   4561630E+02 -.2479E+06 -.3900E+07   .9999370  .0016374 -.0111024
T  175  9 .5640415E+08   4561631E+02  .1301E+07 -.1968E+07   .9999796  .0046660 -.0043734
T  176  9 .5654470E+08   4561631E+02 -.1514E+07  .2745E+07   .9999635 -.0045147  .0072548
T  177  9 .5657315E+08   4561630E+02  .6304E+06 -.2387E+07   .9999336 -.0021112 -.0113243
T  178  9 .5641688E+08   4561631E+02  .7565E+06  .7355E+07   .9998210 -.0015316  .0188589
T  179  9 .5658350E+08   4561631E+02  .7487E+06 -.4913E+06   .9999983  .0006770 -.0017079
T  180  9 .5670253E+08   4561631E+02 -.1358E+07 -.2173E+07   .9999782 -.0043784 -.0049441
T  181  9 .5658096E+08   4561631E+02 -.1191E+07  .2748E+07   .9999537 -.0062321  .0073330
T  182  9 .5625825E+08   4561630E+02  .2244E+07 -.1205E+07   .9999859  .0041447 -.0033277
T  183  9 .5654771E+08   4561630E+02 -.9248E+06 -.2595E+07   .9999815 -.0037098 -.0048205
T  184  9 .5649495E+08   4561630E+02  .6194E+06  .9333E+06   .9999998  .0005031  .0003249
T  185  9 .5630172E+08   4561631E+02 -.6314E+07 -.3164E+07   .9998482 -.0158815 -.0071665
T  186  9 .5643414E+08   4561630E+02 -.3138E+07  .4211E+06   .9999574 -.0092034  .0006821
T  187  9 .5645442E+08   4561630E+02 -.1763E+07 -.2098E+07   .9999191 -.0094000 -.0085710
T  188  9 .5629783E+08   4561630E+02 -.2578E+07 -.8624E+05   .9999865 -.0051857 -.0002182
T  189  9 .5644434E+08   4561630E+02 -.1777E+07  .8853E+06   .9999555 -.0089685  .0029212
