============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  336  8 .6442087E+08   3601150E+02 -.2522E+05  .1900E+07   .9999914  .0011429  .0039841
T  337  8 .6469161E+08   3601150E+02 -.4103E+07  .2147E+07   .9999109 -.0117814  .0062759
T  338  8 .6444776E+08   3601150E+02 -.8942E+06  .1546E+06   .9999977 -.0019454  .0009324
T  339  8 .6446177E+08   3601150E+02  .9279E+06 -.1999E+06   .9999984  .0013440 -.0011508
T  340  8 .6448359E+08   3601150E+02  .1728E+06 -.1429E+07   .9999658  .0000453 -.0082693
T  341  8 .6455259E+08   3601150E+02  .2335E+06 -.7142E+06   .9999995  .0007920 -.0006599
T  342  8 .6460121E+08   3601150E+02  .5902E+06  .6087E+06   .9999940  .0004923  .0034151
T  343  8 .6433207E+08   3601150E+02 -.1655E+06 -.3593E+06   .9999989 -.0013088 -.0007233
T  344  8 .6462159E+08   3601150E+02 -.1182E+07 -.9636E+06   .9999907 -.0030782 -.0030232
T  345  8 .6456579E+08   3601150E+02  .9391E+06  .9309E+06   .9999955  .0026417  .0013872
T  346  8 .6455843E+08   3601150E+02 -.2428E+06  .1728E+06   .9999990 -.0011215  .0008942
T  347  8 .6421952E+08   3601150E+02 -.3111E+06  .3919E+06   .9999817 -.0056551  .0021346
T  348  8 .6477286E+08   3601150E+02 -.1180E+07  .3818E+07   .9999524 -.0036647  .0090474
T  349  8 .6473634E+08   3601150E+02 -.1822E+06 -.1098E+07   .9999971 -.0004633 -.0023833
T  350  8 .6455191E+08   3601150E+02 -.2808E+06 -.1453E+06   .9999915 -.0028346 -.0029822
T  351  8 .6437985E+08   3601150E+02  .1386E+07  .9684E+06   .9999764  .0036765  .0058062
